question,answer,type
What are located on top of the building?,Two wind generators are located on top of the spherical building.,1
What are on the top of the building?,Two wind generators are located on top of the spherical building.,1
What are located on the top of the building?,Two wind generators are located on top of the spherical building.,1
How many levels does the structure have?,The structure consists of eight levels.,1
How many levels is the structure?,The structure consists of eight levels.,1
How many levels is the structure composed of?,The structure consists of eight levels.,1
How many levels do the structure have?,The structure consists of eight levels.,1
How many levels is it?,The structure consists of eight levels.,1
What does the structure tell you?,"Each level tells about one of the alternative energy sources, such as 'space Energy', 'Solar Energy', 'wind Energy', 'biomass Energy', 'Kinetic energy', and 'water Energy'.",1
What does each level tell you about the structure?,"Each level tells about one of the alternative energy sources, such as 'space Energy', 'Solar Energy', 'wind Energy', 'biomass Energy', 'Kinetic energy', and 'water Energy'.",1
What do each levels tell you about the structure?,"Each level tells about one of the alternative energy sources, such as 'space Energy', 'Solar Energy', 'wind Energy', 'biomass Energy', 'Kinetic energy', and 'water Energy'.",1
What does each level tell you?,"Each level tells about one of the alternative energy sources, such as 'space Energy', 'Solar Energy', 'wind Energy', 'biomass Energy', 'Kinetic energy', and 'water Energy'.",1
What do the levels of the structure tell you?,"Each level tells about one of the alternative energy sources, such as 'space Energy', 'Solar Energy', 'wind Energy', 'biomass Energy', 'Kinetic energy', and 'water Energy'.",1
What is on the eighth level?,The Museum 'Future Nur-Sultan' is located on the eighth level.,1
What is located on the eighth floor?,The Museum 'Future Nur-Sultan' is located on the eighth level.,1
What is located on the eighth level?,The Museum 'Future Nur-Sultan' is located on the eighth level.,1
There is a location on the eighth level.,The Museum 'Future Nur-Sultan' is located on the eighth level.,1
What is on the eighth floor?,The Museum 'Future Nur-Sultan' is located on the eighth level.,1
What is the location of the sphere's base?,The base of the sphere has an area of 5000 square meters.,1
What is the center of the sphere?,The base of the sphere has an area of 5000 square meters.,1
What is the location of the base of the sphere?,The base of the sphere has an area of 5000 square meters.,1
What is the area of the sphere?,The base of the sphere has an area of 5000 square meters.,1
What is the location of the sphere?,The base of the sphere has an area of 5000 square meters.,1
The national pavilion occupies an area.,The national pavilion occupies a total of 500 meters.,1
The national pavilion occupies a lot of area.,The national pavilion occupies a total of 500 meters.,1
How much space does the national pavilion occupy?,The national pavilion occupies a total of 500 meters.,1
The national pavilion occupies a certain amount of area.,The national pavilion occupies a total of 500 meters.,1
How much space does the national pavilion take up?,The national pavilion occupies a total of 500 meters.,1
The national pavilion has two zones.,The two zones are 'acquaintance with Kazakhstan' and 'Creative energy'.,1
What are the two areas of the national pavilion?,The two zones are 'acquaintance with Kazakhstan' and 'Creative energy'.,1
There are two zones of the national pavilion.,The two zones are 'acquaintance with Kazakhstan' and 'Creative energy'.,1
The national pavilion has two different zones.,The two zones are 'acquaintance with Kazakhstan' and 'Creative energy'.,1
The national pavilion has two areas.,The two zones are 'acquaintance with Kazakhstan' and 'Creative energy'.,1
The Museum of future energy has a lot of projects.,The Museum of future energy presents projects of scientists of Kazakhstan and startup projects of young specialists in the field of 'green' energy sources.,1
The Museum of future energy has projects on display.,The Museum of future energy presents projects of scientists of Kazakhstan and startup projects of young specialists in the field of 'green' energy sources.,1
The Museum of future energy has projects.,The Museum of future energy presents projects of scientists of Kazakhstan and startup projects of young specialists in the field of 'green' energy sources.,1
The Museum of future energy has some projects.,The Museum of future energy presents projects of scientists of Kazakhstan and startup projects of young specialists in the field of 'green' energy sources.,1
The Museum of future energy has some projects on display.,The Museum of future energy presents projects of scientists of Kazakhstan and startup projects of young specialists in the field of 'green' energy sources.,1
What has been done to protect the heritage?,A lot of work has been done to preserve the EXPO heritage and promote the ideas of 'future Energy'.,1
What has been done to preserve the heritage?,A lot of work has been done to preserve the EXPO heritage and promote the ideas of 'future Energy'.,1
What have been done to preserve the heritage?,A lot of work has been done to preserve the EXPO heritage and promote the ideas of 'future Energy'.,1
What has been done to protect the heritage of the expo?,A lot of work has been done to preserve the EXPO heritage and promote the ideas of 'future Energy'.,1
What has been done to protect the heritage of the exposition?,A lot of work has been done to preserve the EXPO heritage and promote the ideas of 'future Energy'.,1
What facilities are included in the attraction?,"The infrastructure includes a transport and logistics center, a communications Center, the office of the managing company JSC 'NC' EXPO Congress', and the building of the operational Department of internal Affairs.",1
The infrastructure of the attraction has facilities included.,"The infrastructure includes a transport and logistics center, a communications Center, the office of the managing company JSC 'NC' EXPO Congress', and the building of the operational Department of internal Affairs.",1
What facilities are in the attraction?,"The infrastructure includes a transport and logistics center, a communications Center, the office of the managing company JSC 'NC' EXPO Congress', and the building of the operational Department of internal Affairs.",1
The infrastructure of the attraction includes facilities.,"The infrastructure includes a transport and logistics center, a communications Center, the office of the managing company JSC 'NC' EXPO Congress', and the building of the operational Department of internal Affairs.",1
The infrastructure of the attraction has facilities.,"The infrastructure includes a transport and logistics center, a communications Center, the office of the managing company JSC 'NC' EXPO Congress', and the building of the operational Department of internal Affairs.",1
How much is it for tickets to the expo?,The price for tickets to the EXPO is 1500 tenge.,1
How much is the price for tickets to the expo?,The price for tickets to the EXPO is 1500 tenge.,1
The price for tickets to the expo is unknown.,The price for tickets to the EXPO is 1500 tenge.,1
The price for tickets to the expo is not known.,The price for tickets to the EXPO is 1500 tenge.,1
What is the cost for tickets to the expo?,The price for tickets to the EXPO is 1500 tenge.,1
The entire territory of the exhibition has engineering communications.,"All the necessary engineering communications such as water supply, power supply, Sewerage, WI-FI, etc. are located on the entire territory of the exhibition.",1
The entire territory of the exhibition has engineering communications on it.,"All the necessary engineering communications such as water supply, power supply, Sewerage, WI-FI, etc. are located on the entire territory of the exhibition.",1
The entire territory of the exhibition has engineering communications located there.,"All the necessary engineering communications such as water supply, power supply, Sewerage, WI-FI, etc. are located on the entire territory of the exhibition.",1
What engineering communications are located in the entire exhibition territory?,"All the necessary engineering communications such as water supply, power supply, Sewerage, WI-FI, etc. are located on the entire territory of the exhibition.",1
What engineering communications are located in the entire exhibition?,"All the necessary engineering communications such as water supply, power supply, Sewerage, WI-FI, etc. are located on the entire territory of the exhibition.",1
What can visitors do in the EXPO?,Visitors can enjoy an interesting tour of the EXPO heritage sites.,1
What are the things visitors can do in the EXPO?,Visitors can enjoy an interesting tour of the EXPO heritage sites.,1
What can visitors do in the area of the exposition?,Visitors can enjoy an interesting tour of the EXPO heritage sites.,1
What are visitors able to do in the EXPO?,Visitors can enjoy an interesting tour of the EXPO heritage sites.,1
What are visitors able to do at the EXPO?,Visitors can enjoy an interesting tour of the EXPO heritage sites.,1
What is the focus of the exhibition?,The main focus of the exhibition is on future energy and alternative energy sources.,1
The main focus of the exhibition?,The main focus of the exhibition is on future energy and alternative energy sources.,1
What is the main purpose of the exhibition?,The main focus of the exhibition is on future energy and alternative energy sources.,1
What is the main focus of the exhibition?,The main focus of the exhibition is on future energy and alternative energy sources.,1
The main focus of the exhibition is what?,The main focus of the exhibition is on future energy and alternative energy sources.,1
The spherical building is unique.,The spherical building is unique for its innovative design and focus on sustainable energy.,1
What makes the building unique?,The spherical building is unique for its innovative design and focus on sustainable energy.,1
What makes the spherical building unique?,The spherical building is unique for its innovative design and focus on sustainable energy.,1
What makes a spherical building unique?,The spherical building is unique for its innovative design and focus on sustainable energy.,1
What makes a building spherical?,The spherical building is unique for its innovative design and focus on sustainable energy.,1
The spherical building has power generators on top of it.,Two wind generators are installed on top of the spherical building.,1
The spherical building has power generators on top.,Two wind generators are installed on top of the spherical building.,1
What type of generators are on top of the building?,Two wind generators are installed on top of the spherical building.,1
What type of generators are on the building?,Two wind generators are installed on top of the spherical building.,1
The spherical building has power generators on it.,Two wind generators are installed on top of the spherical building.,1
How big is the national pavilion?,The national pavilion occupies a total of 500 meters.,1
What is the size of the national pavilion?,The national pavilion occupies a total of 500 meters.,1
What is the size of the building?,The national pavilion occupies a total of 500 meters.,1
What is the size of the pavilion?,The national pavilion occupies a total of 500 meters.,1
The national pavilion is large.,The national pavilion occupies a total of 500 meters.,1
What are the types of projects presented in the national pavilion?,The national pavilion presents projects related to the 'acquaintance with Kazakhstan' and 'Creative energy'.,1
What kind of projects are on display in the national pavilion?,The national pavilion presents projects related to the 'acquaintance with Kazakhstan' and 'Creative energy'.,1
The national pavilion has a lot of projects.,The national pavilion presents projects related to the 'acquaintance with Kazakhstan' and 'Creative energy'.,1
The national pavilion has projects presented.,The national pavilion presents projects related to the 'acquaintance with Kazakhstan' and 'Creative energy'.,1
What kind of projects are on display?,The national pavilion presents projects related to the 'acquaintance with Kazakhstan' and 'Creative energy'.,1
The overall theme of the exhibition is related to the Museum of future energy.,"The Museum of future energy presents projects related to future energy and alternative energy sources, which are the main focus of the exhibition.",1
The Museum of future energy is related to the exhibition's overall theme.,"The Museum of future energy presents projects related to future energy and alternative energy sources, which are the main focus of the exhibition.",1
The overall theme of the exhibition is the Museum of future energy.,"The Museum of future energy presents projects related to future energy and alternative energy sources, which are the main focus of the exhibition.",1
The Museum of future energy is related to the exhibition's theme.,"The Museum of future energy presents projects related to future energy and alternative energy sources, which are the main focus of the exhibition.",1
The Museum of future energy is related to the overall exhibition theme.,"The Museum of future energy presents projects related to future energy and alternative energy sources, which are the main focus of the exhibition.",1
What is the purpose of the center?,The purpose of the transport and logistics center is to facilitate the movement of goods and people within the exhibition area.,1
The transport and logistics center has a purpose.,The purpose of the transport and logistics center is to facilitate the movement of goods and people within the exhibition area.,1
What is the purpose of the transportation center?,The purpose of the transport and logistics center is to facilitate the movement of goods and people within the exhibition area.,1
What is the purpose for the center?,The purpose of the transport and logistics center is to facilitate the movement of goods and people within the exhibition area.,1
What is the purpose of the transportation and logistics center?,The purpose of the transport and logistics center is to facilitate the movement of goods and people within the exhibition area.,1
The communications center plays a role.,"The communications Center serves as a hub for data processing, media broadcasting, and administrative functions.",1
The communications center has a role to play.,"The communications Center serves as a hub for data processing, media broadcasting, and administrative functions.",1
What is the center's role?,"The communications Center serves as a hub for data processing, media broadcasting, and administrative functions.",1
What is the role of the communications center?,"The communications Center serves as a hub for data processing, media broadcasting, and administrative functions.",1
What role does the center play?,"The communications Center serves as a hub for data processing, media broadcasting, and administrative functions.",1
What is the significance of the exhibition?,The EXPO exhibition is significant for promoting ideas of sustainable energy and preserving the EXPO heritage.,1
What is the significance of the event?,The EXPO exhibition is significant for promoting ideas of sustainable energy and preserving the EXPO heritage.,1
What is the significance of the exposition?,The EXPO exhibition is significant for promoting ideas of sustainable energy and preserving the EXPO heritage.,1
What is the meaning of the exhibition?,The EXPO exhibition is significant for promoting ideas of sustainable energy and preserving the EXPO heritage.,1
The significance of the exhibition?,The EXPO exhibition is significant for promoting ideas of sustainable energy and preserving the EXPO heritage.,1
There are a lot of activities on the territory of the EXPO.,Regular excursions are organized on the territory of the EXPO.,1
There are many activities on the territory of the EXPO.,Regular excursions are organized on the territory of the EXPO.,1
There are a lot of activities on the EXPO territory.,Regular excursions are organized on the territory of the EXPO.,1
There are a lot of activities on the territory of the expo.,Regular excursions are organized on the territory of the EXPO.,1
There are a lot of activities on the EXPO.,Regular excursions are organized on the territory of the EXPO.,1
"After the exhibition period, how has the ticket pricing changed?","After the exhibition period, ticket prices have significantly decreased.",1
"After the exhibition period, how have the ticket prices changed?","After the exhibition period, ticket prices have significantly decreased.",1
How has the ticket pricing changed?,"After the exhibition period, ticket prices have significantly decreased.",1
"After the exhibition period, how has the ticket price changed?","After the exhibition period, ticket prices have significantly decreased.",1
How has the ticket prices changed?,"After the exhibition period, ticket prices have significantly decreased.",1
What can visitors expect from an excursion to the heritage sites?,"Visitors can expect to learn about sustainable energy, explore innovative exhibits, and enjoy the unique atmosphere of the EXPO.",1
What can visitors expect from a visit to the heritage sites?,"Visitors can expect to learn about sustainable energy, explore innovative exhibits, and enjoy the unique atmosphere of the EXPO.",1
What can visitors expect when they visit the heritage sites?,"Visitors can expect to learn about sustainable energy, explore innovative exhibits, and enjoy the unique atmosphere of the EXPO.",1
What can visitors expect when visiting the heritage sites?,"Visitors can expect to learn about sustainable energy, explore innovative exhibits, and enjoy the unique atmosphere of the EXPO.",1
What can visitors expect when visiting the heritage sites of the expo?,"Visitors can expect to learn about sustainable energy, explore innovative exhibits, and enjoy the unique atmosphere of the EXPO.",1
What is the role of the Museum of future energy?,"The Museum of future energy showcases projects and initiatives related to green technologies, promoting awareness and innovation in sustainable energy.",1
The Museum of future energy is promoting green technologies.,"The Museum of future energy showcases projects and initiatives related to green technologies, promoting awareness and innovation in sustainable energy.",1
The Museum of future energy has a role to play in promoting green technologies.,"The Museum of future energy showcases projects and initiatives related to green technologies, promoting awareness and innovation in sustainable energy.",1
What is the role of the Museum of future energy in promoting green technologies?,"The Museum of future energy showcases projects and initiatives related to green technologies, promoting awareness and innovation in sustainable energy.",1
What role does the Museum of future energy play?,"The Museum of future energy showcases projects and initiatives related to green technologies, promoting awareness and innovation in sustainable energy.",1
What are the features of the building?,"Some features of the spherical building include its unique design, wind generators on top, and its focus on showcasing alternative energy sources.",1
What are some of the features of the building?,"Some features of the spherical building include its unique design, wind generators on top, and its focus on showcasing alternative energy sources.",1
What are the features of the spherical building?,"Some features of the spherical building include its unique design, wind generators on top, and its focus on showcasing alternative energy sources.",1
What are some of the features of the spherical building?,"Some features of the spherical building include its unique design, wind generators on top, and its focus on showcasing alternative energy sources.",1
What are some of the features of a building?,"Some features of the spherical building include its unique design, wind generators on top, and its focus on showcasing alternative energy sources.",1
There are exhibitions in the national pavilion.,"The national pavilion hosts exhibitions related to Kazakhstan's culture, heritage, and innovative projects.",1
What types of exhibitions are held in the national pavilion?,"The national pavilion hosts exhibitions related to Kazakhstan's culture, heritage, and innovative projects.",1
The national pavilion has exhibitions in it.,"The national pavilion hosts exhibitions related to Kazakhstan's culture, heritage, and innovative projects.",1
What are the types of exhibitions held in the national pavilion?,"The national pavilion hosts exhibitions related to Kazakhstan's culture, heritage, and innovative projects.",1
What types of exhibitions are held there?,"The national pavilion hosts exhibitions related to Kazakhstan's culture, heritage, and innovative projects.",1
How does the exhibition affect the local economy?,"The EXPO exhibition attracts tourists, fosters innovation, and promotes economic development through infrastructure projects and tourism.",1
How does the exposition affect the local economy?,"The EXPO exhibition attracts tourists, fosters innovation, and promotes economic development through infrastructure projects and tourism.",1
The local economy is affected by the expo exhibition.,"The EXPO exhibition attracts tourists, fosters innovation, and promotes economic development through infrastructure projects and tourism.",1
The local economy is affected by the exposition.,"The EXPO exhibition attracts tourists, fosters innovation, and promotes economic development through infrastructure projects and tourism.",1
How does the exhibition affect the economy?,"The EXPO exhibition attracts tourists, fosters innovation, and promotes economic development through infrastructure projects and tourism.",1
What is the significance of the exhibition?,"The EXPO exhibition serves as a platform to showcase Kazakhstan's achievements, promote sustainable development, and strengthen international cooperation.",1
What is the significance of the exhibition for the country?,"The EXPO exhibition serves as a platform to showcase Kazakhstan's achievements, promote sustainable development, and strengthen international cooperation.",1
What is the significance of the exhibition for a country?,"The EXPO exhibition serves as a platform to showcase Kazakhstan's achievements, promote sustainable development, and strengthen international cooperation.",1
What is the significance of the exhibition in the country?,"The EXPO exhibition serves as a platform to showcase Kazakhstan's achievements, promote sustainable development, and strengthen international cooperation.",1
What is the significance of the exhibition for the country of Kazakhstan?,"The EXPO exhibition serves as a platform to showcase Kazakhstan's achievements, promote sustainable development, and strengthen international cooperation.",1
The national pavilion has a main theme.,"The main theme of the national pavilion is to introduce visitors to Kazakhstan's culture and creativity, as well as its contributions to sustainable energy.",1
What is the national pavilion's main theme?,"The main theme of the national pavilion is to introduce visitors to Kazakhstan's culture and creativity, as well as its contributions to sustainable energy.",1
